iso3,country,UNregion,r,g0,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
ISL,Iceland,Northern Europe,0.8888888888888888,82138.7892973557,456.32660720753194,386506.0,176372971.64535433,142,172,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BDI,Burundi,Eastern Africa,0.0,250.627253097255,12.53136265486275,14047786.0,176037900.8639038,143,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BLZ,Belize,Central America,0.0,7424.75821321022,371.23791066051103,417072.0,154832937.87500066,144,1,7.0,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
DJI,Djibouti,Eastern Africa,0.2222222222222222,3381.29779710722,131.49491433194746,1168722.0,153680999.2678623,145,76,12.9,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
LBR,Liberia,Western Africa,0.3333333333333333,799.194470229642,26.639815674321405,5612817.0,149524410.29369766,146,90,35.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MNE,Montenegro,Southern Europe,0.6666666666666666,12259.8775034436,204.33129172406004,623525.0,127405668.67224453,147,146,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
FJI,Fiji,Melanesia,0.5555555555555556,5926.20586394763,131.69346364328067,928784.0,122314781.9364608,148,131,6.8,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
LCA,St. Lucia,Caribbean,0.0,13554.7684784933,677.7384239246651,179744.0,121819415.269915,149,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
CAF,Central African Republic,Middle Africa,0.1111111111111111,495.978897288721,22.04350654616538,5330690.0,117507099.91057833,150,58,29.8,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SMR,San Marino,Southern Europe,0.0,59879.7173015651,2993.9858650782553,33977.0,101726657.73776388,151,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
