iso3,country,UNregion,r_placeholder,g0,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
TKM,Turkmenistan,Central Asia,0.4722222222222221,6856.65802730208,180.93958683158272,7494498.0,1356051371.630123,82,1,4.3,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
TUN,Tunisia,Northern Africa,0.4722222222222221,4181.13789301228,110.3355832878241,12277109.0,1354601982.6031947,83,1,3.0,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
CRI,Costa Rica,Central America,0.7244333333333332,18587.1532203482,256.0999927876978,5129910.0,1313769914.0015388,84,160,2.5,1.3,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SDN,Sudan,Northern Africa,0.4722222222222221,984.607666015625,25.982702297634557,50448963.0,1310800386.8533807,85,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
LBY,Libya,Northern Africa,0.4722222222222221,6569.16408678648,173.3529411790877,7381023.0,1279522045.9604936,86,1,16.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
LUX,Luxembourg,Western Europe,0.7280333333333332,137781.681659123,1873.6012344279752,677012.0,1268450518.9225523,87,185,2.5,0.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
HRV,Croatia,Southern Europe,0.7274333333333332,24050.4397933135,327.76741031654103,3866200.0,1267214361.765811,88,178,2.5,0.3,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BHR,Bahrain,Western Asia,0.4722222222222221,29653.5682731534,782.524718319326,1588670.0,1243173544.2523637,89,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SRB,Serbia,Southern Europe,0.7250333333333332,13679.2065983557,188.06629204972705,6586476.0,1238694118.994518,90,161,2.5,1.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
KHM,Cambodia,South-eastern Asia,0.4722222222222221,2627.87969756224,69.34682535233691,17638801.0,1223194852.3716257,91,1,5.2,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BOL,Bolivia,South America,0.5723222222222222,4421.16609889999,94.54172461819975,12413315.0,1173576208.3289683,92,138,21.8,2.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
LTU,Lithuania,Northern Europe,0.7250333333333332,29384.0189598663,403.98128733322875,2888278.0,1166810264.6162434,93,161,2.5,1.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
NPL,Nepal,Southern Asia,0.4722222222222221,1447.31004458428,38.1929039543074,29651054.0,1132459857.565982,94,1,5.3,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
URY,Uruguay,South America,0.7277333333333331,23906.5133029408,325.447334430701,3386588.0,1102156037.4149988,95,180,2.5,0.2,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ZWE,Zimbabwe,Eastern Africa,0.4722222222222221,2497.20332208763,65.89842099953471,16634373.0,1096178915.0172932,96,1,19.7,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SVN,Slovenia,Southern Europe,0.7283333333333332,34301.0318686594,465.92234954929046,2127400.0,991203206.4311606,97,191,2.5,0.0,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ISL,Iceland,Northern Europe,0.4722222222222221,86040.5309851288,2270.514012107566,386506.0,877567288.763647,98,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
PRY,Paraguay,South America,0.6055222222222221,6416.09708970845,126.5503860977329,6929153.0,876886987.4802642,99,149,5.2,2.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
