iso3,country,un_region,r,g0,g0_year,vdem_year,delta_g_per_capita,total_deficit_usd,population,ind1_name,ind1_raw,ind1_yes,ind2_name,ind2_raw,ind2_yes,ind3_name,ind3_raw,ind3_yes,ind4_name,ind4_raw,ind4_yes,ind5_name,ind5_raw,ind5_yes,ind6_name,ind6_raw,ind6_yes,ind7_name,ind7_raw,ind7_yes,ind8_name,ind8_raw,ind8_yes,ind9_name,ind9_raw,ind9_yes
BOL,Bolivia,South America,0.1111111111111111,4421.16609889999,2026,2024,196.49627106222175,2439170109.0207434,12413315.0,Existence of Legal Protections,0.982,No,Independent Judiciary,-1.4,No,Law Enforcement Accountability,1.325,No,Protection Against Arbitrary Detention,0.499,No,Freedom from Torture and Inhumane Treatment,1.03,No,Civilian Protection in Conflict Zones,1.325,No,Access to Justice,0.499,No,Freedom of Expression and Whistleblower Protections,0.74,Yes,Socioeconomic Conditions,"undernourish=21.8%, poverty=2.1% (thresh <=5% and <=10%)",No
LBY,Libya,Northern Africa,0.0,6569.16408678648,2026,2024,328.458204339324,2424357560.7672505,7381023.0,Existence of Legal Protections,-2.431,No,Independent Judiciary,0.262,No,Law Enforcement Accountability,-1.144,No,Protection Against Arbitrary Detention,0.116,No,Freedom from Torture and Inhumane Treatment,-1.815,No,Civilian Protection in Conflict Zones,-1.144,No,Access to Justice,0.116,No,Freedom of Expression and Whistleblower Protections,0.427,No,Socioeconomic Conditions,"undernourish=16.5%, poverty=100.0% (thresh <=5% and <=10%)",No
CMR,Cameroon,Middle Africa,0.1111111111111111,1830.00833684727,2026,2024,81.33370385987867,2368741969.786918,29123744.0,Existence of Legal Protections,0.246,No,Independent Judiciary,-1.7469999999999999,No,Law Enforcement Accountability,0.327,No,Protection Against Arbitrary Detention,0.441,No,Freedom from Torture and Inhumane Treatment,-0.728,No,Civilian Protection in Conflict Zones,0.327,No,Access to Justice,0.441,No,Freedom of Expression and Whistleblower Protections,0.555,Yes,Socioeconomic Conditions,"undernourish=4.8%, poverty=100.0% (thresh <=5% and <=10%)",No
BHR,Bahrain,Western Asia,0.0,29653.5682731534,2026,2024,1482.67841365767,2355486715.4255304,1588670.0,Existence of Legal Protections,-0.609,No,Independent Judiciary,-2.4749999999999996,No,Law Enforcement Accountability,-0.248,No,Protection Against Arbitrary Detention,0.253,No,Freedom from Torture and Inhumane Treatment,-0.909,No,Civilian Protection in Conflict Zones,-0.248,No,Access to Justice,0.253,No,Freedom of Expression and Whistleblower Protections,0.128,No,Socioeconomic Conditions,"undernourish=100.0%, poverty=100.0% (thresh <=5% and <=10%)",No
SVK,Slovakia,Eastern Europe,0.6666666666666667,25992.6748502048,2026,2024,433.2112475034132,2348901275.539584,5422069.0,Existence of Legal Protections,0.577,No,Independent Judiciary,0.8945,No,Law Enforcement Accountability,2.074,Yes,Protection Against Arbitrary Detention,0.889,Yes,Freedom from Torture and Inhumane Treatment,1.027,No,Civilian Protection in Conflict Zones,2.074,Yes,Access to Justice,0.889,Yes,Freedom of Expression and Whistleblower Protections,0.797,Yes,Socioeconomic Conditions,"undernourish=3.1%, poverty=0.5% (thresh <=5% and <=10%)",Yes
KHM,Cambodia,South-eastern Asia,0.0,2627.87969756224,2026,2024,131.393984878112,2317632351.862027,17638801.0,Existence of Legal Protections,-1.796,No,Independent Judiciary,-1.157,No,Law Enforcement Accountability,-1.951,No,Protection Against Arbitrary Detention,0.182,No,Freedom from Torture and Inhumane Treatment,-1.362,No,Civilian Protection in Conflict Zones,-1.951,No,Access to Justice,0.182,No,Freedom of Expression and Whistleblower Protections,0.17,No,Socioeconomic Conditions,"undernourish=5.2%, poverty=100.0% (thresh <=5% and <=10%)",No
UGA,Uganda,Eastern Africa,0.2222222222222222,1077.91278452817,2026,2024,41.91883050942884,2096574164.4614904,50015092.0,Existence of Legal Protections,0.317,No,Independent Judiciary,0.7875000000000001,No,Law Enforcement Accountability,-0.571,No,Protection Against Arbitrary Detention,0.545,Yes,Freedom from Torture and Inhumane Treatment,-1.298,No,Civilian Protection in Conflict Zones,-0.571,No,Access to Justice,0.545,Yes,Freedom of Expression and Whistleblower Protections,0.465,No,Socioeconomic Conditions,"undernourish=22.0%, poverty=100.0% (thresh <=5% and <=10%)",No
CZE,Czechia,Eastern Europe,0.8888888888888888,31823.3078290564,2026,2024,176.796154605869,1927967016.2693305,10905028.0,Existence of Legal Protections,2.249,Yes,Independent Judiciary,1.904,No,Law Enforcement Accountability,3.174,Yes,Protection Against Arbitrary Detention,0.981,Yes,Freedom from Torture and Inhumane Treatment,3.25,Yes,Civilian Protection in Conflict Zones,3.174,Yes,Access to Justice,0.981,Yes,Freedom of Expression and Whistleblower Protections,0.959,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=0.0% (thresh <=5% and <=10%)",Yes
GHA,Ghana,Western Africa,0.5555555555555556,2390.77237652715,2026,2024,53.12827503393667,1829069119.6992016,34427414.0,Existence of Legal Protections,2.109,Yes,Independent Judiciary,1.208,No,Law Enforcement Accountability,1.859,No,Protection Against Arbitrary Detention,0.734,Yes,Freedom from Torture and Inhumane Treatment,2.215,Yes,Civilian Protection in Conflict Zones,1.859,No,Access to Justice,0.734,Yes,Freedom of Expression and Whistleblower Protections,0.87,Yes,Socioeconomic Conditions,"undernourish=6.3%, poverty=100.0% (thresh <=5% and <=10%)",No
TZA,Tanzania,Eastern Africa,0.5555555555555556,1186.71691894531,2026,2024,26.37148708767356,1808033295.054372,68560157.0,Existence of Legal Protections,1.194,No,Independent Judiciary,1.286,No,Law Enforcement Accountability,2.133,Yes,Protection Against Arbitrary Detention,0.734,Yes,Freedom from Torture and Inhumane Treatment,1.817,No,Civilian Protection in Conflict Zones,2.133,Yes,Access to Justice,0.734,Yes,Freedom of Expression and Whistleblower Protections,0.705,Yes,Socioeconomic Conditions,"undernourish=20.2%, poverty=100.0% (thresh <=5% and <=10%)",No
